"","campaign_name","ad_name","image_video_and_slideshow","ad_set_name","reach","impressions","result_type","results","amount_spent_usd","starts","ends","link_clicks","cost_per_result","audience","restriction18_39","campaign_theme","version","video_theme"
"222","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Global Poverty + Lookalikes (18-39)",18,22,NA,NA,0.26,2022-01-07,2022-01-17,NA,NA,"Global Poverty",1,"'Optimized' PPCo","Video/creatives","Factual short"
"223","Giving Guide 2021 - Cause-led","Philanthropy (Cause-led)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Retargeting (Cause-led)",6,10,"Meta Leads",1,0.25478439425051,2021-12-03,2021-12-20,1,0.25478439425051,"Retargeting",0,"Cause-led","V1","Poverty"
"224","Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_gg_factual_short.mp4 (2970963846552038)","Philanthropy (Factual V3)",18,18,NA,NA,0.25,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Factual","V3 - sometimes Luke","Factual short"
"225","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Philanthropy + Lookalikes (18-39)",10,13,NA,NA,0.24,2022-01-07,2022-01-17,NA,NA,"Philanthropy",1,"'Optimized' PPCo","Video/creatives","Factual short"
"226","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2892971454258742)","Global Poverty (18-39)",17,22,NA,NA,0.24,2022-01-07,2022-01-17,NA,NA,"Global Poverty",1,"'Optimized' PPCo","Video/creatives","Factual short"
"227","Giving Guide 2021 – Cause-led V3","Philanthropy (Cause-led V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310307580993086)","Philanthropy (Cause-led V3)",6,6,NA,NA,0.22016595135908,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Poverty"
"228","Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","Global Poverty + Lookalikes (18-39)",18,19,NA,NA,0.22,2022-01-07,2022-01-17,NA,NA,"Global Poverty",1,"Hypercube","Video/creatives","Hypercube (factual)"
"229","Giving Guide 2021 – Cause-led V3","Animal Welfare (Cause-led V3)","New Giving Guide Video Ad Filmed Emotional - Animals.m4v (3000456510268873)","Animal Welfare (Cause-led V3)",12,12,NA,NA,0.21,2021-12-23,2022-01-04,NA,NA,"Animal",1,"Cause-led","V3 - sometimes Luke","Animal"
"230","Giving Guide 2021 – Cause-led V3","Lookalikes (Cause-led V3)","cropped_4X5_(x, y)_(0, 155)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v (321584443149131)","Lookalikes (Cause-led V3)",3,3,NA,NA,0.21,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Cause-led","V3 - sometimes Luke","Climate"
"231","Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","Animal Welfare  + Lookalikes (18-39)",19,28,NA,NA,0.2,2022-01-07,2022-01-17,NA,NA,"Animal",1,"Hypercube","Video/creatives","Hypercube (factual)"
