Campaign name,Ad Set Name,Age,Gender,Video,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,female,23849025487530764,8,12,1.5,,,,0.72,60,,,,0,0,90,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,female,ggwc_emotional_set_1 (1).mp4,2,2,1,,,,0.03,15,,,,0,0,15,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,male,ggwc_emotional_set_1 (1).mp4,0,2,0,,,,0.00,0,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,male,ggwc_emotional_set_2 (1).mp4,2,2,1,,,,0.15,75,,,,0,0,75,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Climate Change (Factual V3),13-17,female,gg_factual_short.mp4,0,1,0,,,,0.01,10,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Philanthropy (Factual V3),13-17,female,gg_factual_short.mp4,0,7,0,,,,0.06,8.57142857,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),13-17,unknown,"cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Animal Welfare (Emotional),13-17,unknown,ggwc_emotional_set_1 (1).mp4,2,2,1,,,,0.03,15.05913819,,,,0,0,15.05913819,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy (18-39),13-17,female,23849025495190764,1,1,1,,,,0.03,30,,,,0,0,30,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Lookalikes (Emotional V3),13-17,male,ggwc_emotional_set_2 (1).mp4,1,2,2,,,,0.61,305,,,,0,0,610,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy (18-39),13-17,male,23849025495190764,0,1,0,,,,0.01,10,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Global Poverty (Factual V2),13-17,female,gg_factual_short.mp4,0,2,0,,,,0.10,50.44501641,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,female,gg_factual_short.mp4,28,28,1,,,,0.37,13.21527481,,,,0,0,13.21527481,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,male,gg_factual_short.mp4,28,28,1,,,,0.42,15.00112275,,,,1,3.57142857,15.00112275,,,,,2021-11-01,2022-01-20
