Campaign name,Ad Set Name,Age,Gender,Text,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,unknown,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Climate Change (Factual V3),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.01,10,,,,0,0,10,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,male,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,2,2,1,,,,0.04,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,female,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",1,2,2,,,,0.04,20,,,,0,0,40,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy (18-39),13-17,male,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",0,1,0,,,,0.01,10,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy (18-39),13-17,unknown,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Philanthropy (18-39),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.03,30,,,,0,0,30,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,unknown,"It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",0,5,0,,,,0.02,4.0030173,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Climate Change (Factual V3),13-17,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,4,4,1,,,,0.02,5,,,,0,0,5,,,,,2021-11-01,2022-01-20
